"Quadrat","Num.Bears"
1,2
2,1
3,0
4,0
5,1
6,0
7,0
8,0
9,0
10,0
11,0
12,2
13,2
14,1
15,1
16,0
17,0
18,0
19,0
20,1
21,0
22,0
23,0
24,0
25,2
26,0
27,0
28,0
29,2
30,0
31,0
32,0
33,0
34,1
35,1
36,1
37,2
38,1
39,0
40,0
41,1
42,0
43,1
44,0
45,0
46,2
47,2
48,1
49,0
50,0
51,0
52,0
53,0
54,0
55,0
56,1
57,0
58,0
59,1
60,0
61,0
62,0
63,4
64,2
65,1
66,0
67,1
68,0
69,1
70,0
71,0
72,0
73,0
74,0
75,0
76,0
77,0
78,0
79,0
80,0
81,1
82,0
83,4
84,1
85,1
86,0
87,0
88,0
89,0
90,0
91,1
92,1
93,0
94,5
95,0
96,0
97,1
98,0
99,0
100,0
101,2
102,0
103,1
104,1
105,0
106,0
107,1
108,0
109,0
110,1
111,0
112,0
113,0
114,0
115,0
116,0
117,0
118,0
119,1
120,0
121,0
122,1
123,0
124,0
125,2
126,0
127,1
128,0
129,0
130,1
131,0
132,1
133,2
134,0
135,0
136,0
137,2
138,0
139,0
140,1
141,1
142,0
143,0
144,4
145,0
146,1
147,0
148,1
149,3
150,1
151,0
152,1
153,0
154,1
155,0
156,2
157,3
158,0
159,0
160,0
161,1
162,0
163,1
164,0
